,ROB,IQ,WIDTH,IPC
1454,128,64,11,7.352941176
1455,128,64,12,7.462686567
1456,128,64,13,7.530120482
1457,128,64,14,7.507507508
1458,128,64,15,7.530120482
1459,128,64,16,7.56429652
1460,128,64,17,7.61614623
1461,128,64,18,7.610350076
1462,128,64,19,7.651109411
1425,128,32,1,0.998901209
1426,128,32,2,1.993620415
1427,128,32,3,2.984183826
1428,128,32,4,3.969829297
1429,128,32,5,4.948045522
1430,128,32,6,5.793742758
1431,128,32,7,6.381620932
1432,128,32,8,6.793478261
1433,128,32,9,7.097232079
1434,128,32,10,7.256894049
1435,128,32,11,7.352941176
1436,128,32,12,7.462686567
1437,128,32,13,7.530120482
1438,128,32,14,7.507507508
1439,128,32,15,7.518796992
1440,128,32,16,7.56429652
1441,128,32,17,7.61614623
1442,128,32,18,7.610350076
1443,128,32,19,7.645259939
1406,128,16,1,0.998901209
1407,128,16,2,1.993620415
1408,128,16,3,2.984183826
1409,128,16,4,3.965107058
1410,128,16,5,4.918839154
1411,128,16,6,5.737234653
1412,128,16,7,6.337135615
1413,128,16,8,6.702412869
1414,128,16,9,6.983240223
1415,128,16,10,7.052186178
1416,128,16,11,7.01754386
1417,128,16,12,7.027406887
1418,128,16,13,7.067137809
1419,128,16,14,7.062146893
1420,128,16,15,7.052186178
1421,128,16,16,7.097232079
1422,128,16,17,7.137758744
1423,128,16,18,7.158196135
1424,128,16,19,7.194244604
1387,128,8,1,0.998901209
1388,128,8,2,1.993223042
1389,128,8,3,2.928257687
1390,128,8,4,3.699593045
1391,128,8,5,4.133939644
1392,128,8,6,4.224757076
1393,128,8,7,4.194630872
1394,128,8,8,4.201680672
1395,128,8,9,4.212299916
1396,128,8,10,4.432624113
1397,128,8,11,4.512635379
1398,128,8,12,4.494382022
1399,128,8,13,4.498425551
1400,128,8,14,4.482294935
1401,128,8,15,4.543389368
1402,128,8,16,4.576659039
1403,128,8,17,4.627487274
1404,128,8,18,4.606172271
1405,128,8,19,4.621072089
1368,128,4,1,0.998901209
1369,128,4,2,1.945525292
1370,128,4,3,2.525252525
1371,128,4,4,2.525252525
1372,128,4,5,2.413709872
1373,128,4,6,2.62605042
1374,128,4,7,2.653223667
1375,128,4,8,2.637826431
1376,128,4,9,2.658160553
1377,128,4,10,2.705627706
1378,128,4,11,2.7100271
1379,128,4,12,2.718868951
1380,128,4,13,2.750275028
1381,128,4,14,2.744237102
1382,128,4,15,2.750275028
1383,128,4,16,2.75558005
1384,128,4,17,2.759381898
1385,128,4,18,2.777006387
1386,128,4,19,2.78551532
1349,128,2,1,0.998901209
1350,128,2,2,1.587301587
1351,128,2,3,1.457938475
1352,128,2,4,1.601537476
1353,128,2,5,1.55159038
1354,128,2,6,1.622060016
1355,128,2,7,1.597188947
1356,128,2,8,1.628399284
1357,128,2,9,1.620482904
1358,128,2,10,1.639344262
1359,128,2,11,1.629195178
1360,128,2,12,1.647989453
1361,128,2,13,1.642036125
1362,128,2,14,1.647446458
1363,128,2,15,1.646361541
1364,128,2,16,1.653986107
1365,128,2,17,1.647989453
1366,128,2,18,1.655629139
1367,128,2,19,1.655903295
1330,128,1,1,0.998901209
